state,name,mean_work_travel_2010,mean_work_travel_2017,delta_work_travel
Illinois,De Witt County,22.1,21.9,-0.2
Illinois,Douglas County,20.4,20.8,0.4
Illinois,DuPage County,29.1,29.3,0.2
Illinois,Edgar County,21.5,19.4,-2.1
Illinois,Edwards County,21.4,20.9,-0.5
Illinois,Effingham County,17.7,17.3,-0.4
Illinois,Fayette County,23.5,22.7,-0.8
Illinois,Ford County,22.4,22.3,-0.1
Illinois,Franklin County,23.2,24.8,1.6
Illinois,Fulton County,26.6,24.7,-1.9
Illinois,Gallatin County,26.9,27.2,0.3
Illinois,Greene County,28.5,27.2,-1.3
Illinois,Grundy County,28.7,28.7,0
Illinois,Hamilton County,24.3,27.7,3.4
Illinois,Hancock County,22.6,23.4,0.8
Illinois,Hardin County,26.2,27.8,1.6
Illinois,Henderson County,24.9,24.8,-0.1
Illinois,Henry County,21.9,22,0.1
Illinois,Iroquois County,24.6,23.2,-1.4
Illinois,Jackson County,17.1,19.2,2.1
Illinois,Jasper County,23.8,23.6,-0.2
Illinois,Jefferson County,20.2,19.8,-0.4
Illinois,Jersey County,29.5,28.6,-0.9
Illinois,Jo Daviess County,20.3,21.5,1.2
Illinois,Johnson County,25.6,25,-0.6
Illinois,Kane County,29,29,0
Illinois,Kankakee County,23.3,23.9,0.6
Illinois,Kendall County,34.1,33,-1.1
Illinois,Knox County,19.8,17.8,-2
Illinois,Lake County,30.4,30,-0.4
Illinois,LaSalle County,22.3,22.8,0.5
Illinois,Lawrence County,22.3,19,-3.3
Illinois,Lee County,21.4,21.5,0.1
Illinois,Livingston County,20.2,19.8,-0.4
Illinois,Logan County,20.8,21.5,0.7
Illinois,McDonough County,15.1,15.6,0.5
Illinois,McHenry County,33.7,33.6,-0.1
Illinois,McLean County,17.3,18,0.7
Illinois,Macon County,17.6,17.9,0.3
Illinois,Macoupin County,27.9,27.6,-0.3
Illinois,Madison County,24.3,24.8,0.5
Illinois,Marion County,22.5,20.4,-2.1
Illinois,Marshall County,27,27.7,0.7
Illinois,Mason County,27,26.9,-0.1
Illinois,Massac County,19.9,20.7,0.8
Illinois,Menard County,27.5,27.6,0.1
Illinois,Mercer County,27.4,26.7,-0.7
Illinois,Monroe County,28.8,28.4,-0.4
Illinois,Montgomery County,23.4,23.3,-0.1
Illinois,Morgan County,19,19.4,0.4
Illinois,Moultrie County,20.5,22.3,1.8
Illinois,Ogle County,24.4,26,1.6
Illinois,Peoria County,19,18.9,-0.1
Illinois,Perry County,24.5,25,0.5
Illinois,Piatt County,22.2,23.2,1
Illinois,Pike County,21.5,24.3,2.8
Illinois,Pope County,32.8,33.1,0.3
Illinois,Pulaski County,26,27.5,1.5
Illinois,Putnam County,22.3,23.7,1.4
Illinois,Randolph County,23.9,25.2,1.3
Illinois,Richland County,17.8,19.2,1.4
Illinois,Rock Island County,18.5,19.1,0.6
Illinois,St. Clair County,23.2,24.9,1.7
Illinois,Saline County,22,23.1,1.1
Illinois,Sangamon County,18.9,19.6,0.7
Illinois,Schuyler County,22.6,24.1,1.5
Illinois,Scott County,25.3,25.1,-0.2
Illinois,Shelby County,23.3,23.5,0.2
Illinois,Stark County,25.3,24.7,-0.6
Illinois,Stephenson County,19.7,20.5,0.8
Illinois,Tazewell County,20.7,21.2,0.5
Illinois,Union County,22.8,24.6,1.8
Illinois,Vermilion County,19.7,19.8,0.1
Illinois,Wabash County,19.6,20.3,0.7
Illinois,Warren County,19.3,17.9,-1.4
Illinois,Washington County,24.8,23.4,-1.4
Illinois,Wayne County,20.4,23.9,3.5
Illinois,White County,26,24.8,-1.2
Illinois,Whiteside County,19.6,19.4,-0.2
Illinois,Will County,33.6,32.9,-0.7
Illinois,Williamson County,20.4,21.8,1.4
Illinois,Winnebago County,21.9,21.9,0
Illinois,Woodford County,22.8,22.7,-0.1
Indiana,Adams County,21.8,22.8,1
Indiana,Allen County,20.4,21.3,0.9
Indiana,Bartholomew County,19.8,19.6,-0.2
Indiana,Benton County,25,26.3,1.3
Indiana,Blackford County,23.9,23.5,-0.4
Indiana,Boone County,23.6,24.9,1.3
Indiana,Brown County,35.2,33.3,-1.9
Indiana,Carroll County,26,28.4,2.4
Indiana,Cass County,19.9,20.6,0.7
Indiana,Clark County,22.5,24,1.5
Indiana,Clay County,25.7,26.2,0.5
Indiana,Clinton County,21.9,23,1.1
Indiana,Crawford County,34.2,32.7,-1.5
Indiana,Daviess County,22.6,25.5,2.9
Indiana,Dearborn County,28.1,28.7,0.6
Indiana,Decatur County,21.1,21.4,0.3
Indiana,DeKalb County,20.7,20.7,0
Indiana,Delaware County,19.2,20.6,1.4
Indiana,Dubois County,18.7,19.1,0.4
Indiana,Elkhart County,18.8,19.4,0.6
Indiana,Fayette County,24,26.1,2.1
Indiana,Floyd County,22.5,22.6,0.1
Indiana,Fountain County,27.2,25.4,-1.8
Indiana,Franklin County,28.5,30.1,1.6
Indiana,Fulton County,23.2,22.8,-0.4
Indiana,Gibson County,22.9,21.5,-1.4
Indiana,Grant County,19.3,18.3,-1
Indiana,Greene County,28.7,28.7,0
Indiana,Hamilton County,25.4,25.5,0.1
Indiana,Hancock County,27.5,26.1,-1.4
Indiana,Harrison County,29.9,29.4,-0.5
Indiana,Hendricks County,25.9,27,1.1
Indiana,Henry County,26.5,26.8,0.3
Indiana,Howard County,19.2,19.9,0.7
Indiana,Huntington County,21,20.2,-0.8
Indiana,Jackson County,19.8,20.5,0.7
Indiana,Jasper County,27.1,27,-0.1
Indiana,Jay County,21.9,19.6,-2.3
Indiana,Jefferson County,20.8,24.2,3.4
Indiana,Jennings County,25.3,26.3,1
Indiana,Johnson County,25.7,26.1,0.4
Indiana,Knox County,18.7,18.4,-0.3
Indiana,Kosciusko County,19.6,19.7,0.1
Indiana,LaGrange County,21.9,22.9,1
Indiana,Lake County,27.7,28.3,0.6
Indiana,LaPorte County,21.4,22.1,0.7
Indiana,Lawrence County,25.2,23.6,-1.6
Indiana,Madison County,25.5,25.9,0.4
Indiana,Marion County,22.2,23.3,1.1
Indiana,Marshall County,21.7,22.4,0.7
Indiana,Martin County,24.6,26.4,1.8
Indiana,Miami County,22.3,24.1,1.8
Indiana,Monroe County,18.3,18.7,0.4
Indiana,Montgomery County,20,21.9,1.9
Indiana,Morgan County,28.7,28.1,-0.6
Indiana,Newton County,28.2,31.2,3
Indiana,Noble County,22.6,21.9,-0.7
Indiana,Ohio County,31,31.3,0.3
Indiana,Orange County,26.3,25.6,-0.7
Indiana,Owen County,31.2,30.8,-0.4
Indiana,Parke County,25.2,27,1.8
Indiana,Perry County,23.1,23.5,0.4
Indiana,Pike County,26,25.2,-0.8
Indiana,Porter County,26.5,27.2,0.7
Indiana,Posey County,24,23.6,-0.4
Indiana,Pulaski County,21.2,21.7,0.5
Indiana,Putnam County,26.6,25,-1.6
Indiana,Randolph County,22.6,24.5,1.9
Indiana,Ripley County,25.3,27.2,1.9
Indiana,Rush County,26.4,26,-0.4
Indiana,St. Joseph County,19.8,21,1.2
Indiana,Scott County,24.8,26,1.2
Indiana,Shelby County,24.4,23.5,-0.9
Indiana,Spencer County,27.3,26.8,-0.5
Indiana,Starke County,29.3,30.3,1
Indiana,Steuben County,20.9,22,1.1
Indiana,Sullivan County,25.1,22.8,-2.3
Indiana,Switzerland County,30.6,37.4,6.8
Indiana,Tippecanoe County,17.4,17.7,0.3
Indiana,Tipton County,23.9,23.7,-0.2
Indiana,Union County,26.5,23.6,-2.9
Indiana,Vanderburgh County,18.4,19.6,1.2
Indiana,Vermillion County,23.8,24.3,0.5
Indiana,Vigo County,19.5,19.9,0.4
Indiana,Wabash County,19.9,19.6,-0.3
Indiana,Warren County,23.9,25.6,1.7
Indiana,Warrick County,22.8,23.6,0.8
Indiana,Washington County,28.2,31.4,3.2
Indiana,Wayne County,19.9,19.6,-0.3
Indiana,Wells County,21.9,21.3,-0.6
Indiana,White County,22.7,24.9,2.2
Indiana,Whitley County,23.6,22.9,-0.7
Iowa,Adair County,21,22.3,1.3
Iowa,Adams County,20.2,19.6,-0.6
Iowa,Allamakee County,19.5,24.3,4.8
Iowa,Appanoose County,19.8,19.6,-0.2
Iowa,Audubon County,19.3,19.2,-0.1
Iowa,Benton County,25.4,23.8,-1.6
Iowa,Black Hawk County,15.8,15.7,-0.1
Iowa,Boone County,20.7,21.4,0.7
Iowa,Bremer County,18.3,20.2,1.9
Iowa,Buchanan County,22.9,22.4,-0.5
Iowa,Buena Vista County,14.2,13.9,-0.3
Iowa,Butler County,23.3,24,0.7
Iowa,Calhoun County,19.9,20.4,0.5
Iowa,Carroll County,13,14,1
Iowa,Cass County,17.9,18.4,0.5
Iowa,Cedar County,24,25.3,1.3
Iowa,Cerro Gordo County,15.3,16.3,1
Iowa,Cherokee County,14,16.1,2.1
Iowa,Chickasaw County,19.8,19.6,-0.2
Iowa,Clarke County,21.2,24.3,3.1
Iowa,Clay County,14.8,16.3,1.5
Iowa,Clayton County,21.5,21.5,0
Iowa,Clinton County,18.2,19.5,1.3
Iowa,Crawford County,14.7,16.3,1.6
Iowa,Dallas County,20.8,21.1,0.3
Iowa,Davis County,23.5,22.9,-0.6
Iowa,Decatur County,21.2,24,2.8
Iowa,Delaware County,21,22.6,1.6
Iowa,Des Moines County,16,15.9,-0.1
Iowa,Dickinson County,16.6,15.7,-0.9
Iowa,Dubuque County,16.5,16.4,-0.1
Iowa,Emmet County,17,16.7,-0.3
Iowa,Fayette County,20.5,19.5,-1
Iowa,Floyd County,19.8,19,-0.8
Iowa,Franklin County,18.4,16.8,-1.6
Iowa,Fremont County,22.5,24.5,2
Iowa,Greene County,18.5,19.6,1.1
Iowa,Grundy County,19.2,21.1,1.9
Iowa,Guthrie County,27,26.2,-0.8
Iowa,Hamilton County,16.3,18.4,2.1
Iowa,Hancock County,17.6,18.2,0.6
Iowa,Hardin County,16.4,17.9,1.5
Iowa,Harrison County,27.2,26.4,-0.8
Iowa,Henry County,18.5,18.7,0.2
Iowa,Howard County,16.5,17.8,1.3
Iowa,Humboldt County,16.9,19.1,2.2
Iowa,Ida County,14.9,18.1,3.2
Iowa,Iowa County,21.4,22.5,1.1
Iowa,Jackson County,22.3,23.3,1
Iowa,Jasper County,21.8,22.9,1.1
Iowa,Jefferson County,13.1,14.8,1.7
Iowa,Johnson County,17.7,18.9,1.2
Iowa,Jones County,23.7,24.6,0.9
Iowa,Keokuk County,26.4,23.9,-2.5
Iowa,Kossuth County,15.5,14.7,-0.8
Iowa,Lee County,17.5,17.5,0
Iowa,Linn County,18.1,18.8,0.7
Iowa,Louisa County,21.6,24.3,2.7
Iowa,Lucas County,25.4,19.8,-5.6
Iowa,Lyon County,19,16.2,-2.8
Iowa,Madison County,29,28.2,-0.8
Iowa,Mahaska County,17.7,18.3,0.6
Iowa,Marion County,19.9,19,-0.9
Iowa,Marshall County,16.9,17.5,0.6
Iowa,Mills County,23.4,24.7,1.3
Iowa,Mitchell County,16,17,1
Iowa,Monona County,21.7,21.1,-0.6
Iowa,Monroe County,23.7,22.4,-1.3
Iowa,Montgomery County,20.6,19,-1.6
Iowa,Muscatine County,17,17.2,0.2
Iowa,O'Brien County,16.5,16.3,-0.2
Iowa,Osceola County,16.7,19.1,2.4
Iowa,Page County,16.1,13.9,-2.2
Iowa,Palo Alto County,17.6,15.3,-2.3
Iowa,Plymouth County,18.1,17.8,-0.3
Iowa,Pocahontas County,17.4,18.2,0.8
Iowa,Polk County,18.6,19.4,0.8
Iowa,Pottawattamie County,20.2,20.5,0.3
Iowa,Poweshiek County,18,17.1,-0.9
Iowa,Ringgold County,19.5,20.3,0.8
Iowa,Sac County,17.8,17.1,-0.7
Iowa,Scott County,18.2,19.1,0.9
Iowa,Shelby County,17.6,18.8,1.2
Iowa,Sioux County,12.3,12.9,0.6
Iowa,Story County,17.7,17.7,0
Iowa,Tama County,21.6,22.7,1.1
Iowa,Taylor County,20.3,21.2,0.9
Iowa,Union County,13.7,17.5,3.8
Iowa,Van Buren County,21.5,22.3,0.8
Iowa,Wapello County,17.3,18.1,0.8
Iowa,Warren County,24.2,23.7,-0.5
Iowa,Washington County,20.8,20.7,-0.1
Iowa,Wayne County,25.2,23.8,-1.4
Iowa,Webster County,15.4,16.5,1.1
Iowa,Winnebago County,13.9,16.7,2.8
Iowa,Winneshiek County,16.9,17.9,1
Iowa,Woodbury County,17,17.8,0.8
Iowa,Worth County,20.7,20.5,-0.2
Iowa,Wright County,14.6,15.9,1.3
Kansas,Allen County,16.8,17.4,0.6
Kansas,Anderson County,25.8,24.2,-1.6
Kansas,Atchison County,18.9,19.8,0.9
Kansas,Barber County,15.3,15.8,0.5
Kansas,Barton County,15.3,17.9,2.6
Kansas,Bourbon County,17.9,17.1,-0.8
Kansas,Brown County,17.5,18.2,0.7
Kansas,Butler County,22,22.7,0.7
Kansas,Chase County,19,20.9,1.9
Kansas,Chautauqua County,25.9,19.7,-6.2
Kansas,Cherokee County,20,18.8,-1.2
Kansas,Cheyenne County,14.4,13.2,-1.2
Kansas,Clark County,14.4,17.4,3
Kansas,Clay County,20.4,19.7,-0.7
Kansas,Cloud County,14.9,17,2.1
Kansas,Coffey County,21,19.9,-1.1
Kansas,Comanche County,10,13.4,3.4
Kansas,Cowley County,18.8,18,-0.8
Kansas,Crawford County,17,16.4,-0.6
Kansas,Decatur County,14.8,16.9,2.1
Kansas,Dickinson County,20.4,21.1,0.7
Kansas,Doniphan County,21.1,20,-1.1
Kansas,Douglas County,19.6,20.4,0.8
Kansas,Edwards County,20.3,19.2,-1.1
Kansas,Elk County,30.5,27,-3.5
Kansas,Ellis County,13.4,12.8,-0.6
Kansas,Ellsworth County,18,16.5,-1.5
Kansas,Finney County,14.4,14.3,-0.1
Kansas,Ford County,13.5,14.4,0.9
Kansas,Franklin County,23.8,23.7,-0.1
Kansas,Geary County,16.3,16.2,-0.1
Kansas,Gove County,13.4,12.8,-0.6
Kansas,Graham County,15.4,15,-0.4
Kansas,Grant County,11.8,14.5,2.7
Kansas,Gray County,15.2,15.5,0.3
Kansas,Greeley County,8.8,12,3.2
Kansas,Greenwood County,27.7,22.8,-4.9
Kansas,Hamilton County,10.6,14.1,3.5
Kansas,Harper County,16.4,16,-0.4
Kansas,Harvey County,17.9,19.6,1.7
Kansas,Haskell County,13.5,13.7,0.2
Kansas,Hodgeman County,18.1,16.9,-1.2
Kansas,Jackson County,24.7,25.1,0.4
Kansas,Jefferson County,28.8,30,1.2
Kansas,Jewell County,16.7,18.4,1.7
Kansas,Johnson County,20.2,20.9,0.7
Kansas,Kearny County,14.1,16.3,2.2
Kansas,Kingman County,28.3,22.1,-6.2
Kansas,Kiowa County,15.1,14.5,-0.6
Kansas,Labette County,15.3,15.8,0.5
Kansas,Lane County,13.3,14.4,1.1
Kansas,Leavenworth County,22.5,22.6,0.1
Kansas,Lincoln County,20.7,18.8,-1.9
Kansas,Linn County,34.2,32.8,-1.4
Kansas,Logan County,12.7,13.1,0.4
Kansas,Lyon County,16.9,17,0.1
Kansas,McPherson County,13.9,13.5,-0.4
Kansas,Marion County,19.9,20,0.1
Kansas,Marshall County,16.4,15.5,-0.9
Kansas,Meade County,16.5,15.3,-1.2
Kansas,Miami County,29.8,27.9,-1.9
Kansas,Mitchell County,10.1,9.6,-0.5
Kansas,Montgomery County,15.8,16.6,0.8
Kansas,Morris County,22.7,21.3,-1.4
Kansas,Morton County,14.6,17.7,3.1
Kansas,Nemaha County,14,15.9,1.9
Kansas,Neosho County,14.7,16.6,1.9
Kansas,Ness County,11.8,12.9,1.1
Kansas,Norton County,9.5,13.6,4.1
Kansas,Osage County,28.3,29.5,1.2
Kansas,Osborne County,15.2,13.7,-1.5
Kansas,Ottawa County,23.9,23.7,-0.2
Kansas,Pawnee County,14.9,14.8,-0.1
Kansas,Phillips County,12.5,14.1,1.6
Kansas,Pottawatomie County,22.6,21.1,-1.5
Kansas,Pratt County,14.3,12.8,-1.5
Kansas,Rawlins County,14.1,15,0.9
Kansas,Reno County,17.2,17.5,0.3
Kansas,Republic County,14.9,17.6,2.7
Kansas,Rice County,19.8,16.5,-3.3
Kansas,Riley County,16,14.9,-1.1
Kansas,Rooks County,15,16,1
Kansas,Rush County,17.7,19,1.3
Kansas,Russell County,14.8,14.7,-0.1
Kansas,Saline County,14.9,14.8,-0.1
Kansas,Scott County,17.1,14.6,-2.5
Kansas,Sedgwick County,18.1,18.8,0.7
Kansas,Seward County,14.1,14.8,0.7
Kansas,Shawnee County,18.3,18,-0.3
Kansas,Sheridan County,11,13.4,2.4
Kansas,Sherman County,9.8,15.3,5.5
Kansas,Smith County,14.9,14.5,-0.4
Kansas,Stafford County,18.9,19.3,0.4
Kansas,Stanton County,12.2,11.1,-1.1
Kansas,Stevens County,18.5,15.7,-2.8
Kansas,Sumner County,23,23.5,0.5
Kansas,Thomas County,12.2,11.1,-1.1
Kansas,Trego County,11.9,20,8.1
Kansas,Wabaunsee County,28.5,27,-1.5
Kansas,Wallace County,12.6,13.9,1.3
Kansas,Washington County,17.4,19.2,1.8
Kansas,Wichita County,14,11.8,-2.2
Kansas,Wilson County,16.1,17.1,1
Kansas,Woodson County,27.7,23,-4.7
Kansas,Wyandotte County,21.1,21.5,0.4
Kentucky,Adair County,23.1,22.2,-0.9
Kentucky,Allen County,26.8,24.1,-2.7
Kentucky,Anderson County,27.4,26.6,-0.8
Kentucky,Ballard County,20.9,23.6,2.7
Kentucky,Barren County,19.5,20.7,1.2
Kentucky,Bath County,27.2,25.5,-1.7
Kentucky,Bell County,21.5,20.6,-0.9
Kentucky,Boone County,24.1,24,-0.1
Kentucky,Bourbon County,21.5,22.7,1.2
Kentucky,Boyd County,19.5,21.6,2.1
Kentucky,Boyle County,20.9,20.5,-0.4
Kentucky,Bracken County,30.8,35.6,4.8
Kentucky,Breathitt County,25.4,27.7,2.3
Kentucky,Breckinridge County,31.5,31.6,0.1
Kentucky,Bullitt County,27.4,28.1,0.7
Kentucky,Butler County,28.9,26,-2.9
Kentucky,Caldwell County,20.9,22.4,1.5
Kentucky,Calloway County,17.3,16.6,-0.7
Kentucky,Campbell County,21.9,22.4,0.5
Kentucky,Carlisle County,25.7,26.2,0.5
Kentucky,Carroll County,19.3,18.5,-0.8
Kentucky,Carter County,30.3,30.3,0
Kentucky,Casey County,29.4,28.9,-0.5
Kentucky,Christian County,18.1,17.3,-0.8
Kentucky,Clark County,22.5,23.1,0.6
Kentucky,Clay County,21.8,29.5,7.7
Kentucky,Clinton County,17.3,18.4,1.1
Kentucky,Crittenden County,30.7,24.5,-6.2
Kentucky,Cumberland County,20.7,19.9,-0.8
Kentucky,Daviess County,17.8,19.2,1.4
Kentucky,Edmonson County,32.4,29.8,-2.6
Kentucky,Elliott County,32.7,39,6.3
Kentucky,Estill County,33.1,33.4,0.3
Kentucky,Fayette County,19.7,20.9,1.2
Kentucky,Fleming County,26.4,29.4,3
Kentucky,Floyd County,23.1,23,-0.1
Kentucky,Franklin County,18.1,19,0.9
Kentucky,Fulton County,17.8,21.9,4.1
Kentucky,Gallatin County,27,29.4,2.4
Kentucky,Garrard County,28.3,34,5.7
Kentucky,Grant County,28.9,30.2,1.3
Kentucky,Graves County,22.7,22.7,0
Kentucky,Grayson County,27.6,28.2,0.6
Kentucky,Green County,27.6,26.9,-0.7
Kentucky,Greenup County,22.3,23.1,0.8
Kentucky,Hancock County,21.4,22.5,1.1
Kentucky,Hardin County,20.8,22.2,1.4
Kentucky,Harlan County,23.6,20.6,-3
Kentucky,Harrison County,24.2,24.6,0.4
Kentucky,Hart County,25.9,29.1,3.2
Kentucky,Henderson County,20.6,20.8,0.2
Kentucky,Henry County,27.7,30.5,2.8
Kentucky,Hickman County,18.8,18.9,0.1
Kentucky,Hopkins County,20,21.3,1.3
Kentucky,Jackson County,35,29.3,-5.7
Kentucky,Jefferson County,21.3,22.2,0.9
Kentucky,Jessamine County,23.1,23.9,0.8
Kentucky,Johnson County,24.6,26.7,2.1
Kentucky,Kenton County,22.3,23.4,1.1
Kentucky,Knott County,26,29.3,3.3
Kentucky,Knox County,21.2,21.6,0.4
Kentucky,Larue County,26,26.7,0.7
Kentucky,Laurel County,21.7,20.1,-1.6
Kentucky,Lawrence County,28.8,31.8,3
Kentucky,Lee County,26.4,32.1,5.7
Kentucky,Leslie County,27.8,32.6,4.8
Kentucky,Letcher County,25.5,25.6,0.1
Kentucky,Lewis County,28.7,32.4,3.7
Kentucky,Lincoln County,27.9,28.2,0.3
Kentucky,Livingston County,27.4,25.2,-2.2
Kentucky,Logan County,21.9,23.3,1.4
Kentucky,Lyon County,20.9,20.3,-0.6
Kentucky,McCracken County,17.7,18.1,0.4
Kentucky,McCreary County,23.8,28.2,4.4
Kentucky,McLean County,27.5,27,-0.5
Kentucky,Madison County,22.5,22.6,0.1
Kentucky,Magoffin County,30.3,31.8,1.5
Kentucky,Marion County,21.2,20.4,-0.8
Kentucky,Marshall County,21.3,23.2,1.9
Kentucky,Martin County,27,35.5,8.5
Kentucky,Mason County,23,25.8,2.8
Kentucky,Meade County,30.3,30.7,0.4
Kentucky,Menifee County,35.3,30.9,-4.4
Kentucky,Mercer County,24.6,26.4,1.8
Kentucky,Metcalfe County,22.6,25.2,2.6
Kentucky,Monroe County,20.6,23.6,3
Kentucky,Montgomery County,24.1,22.8,-1.3
Kentucky,Morgan County,28.2,35.2,7
Kentucky,Muhlenberg County,24.4,23.8,-0.6
Kentucky,Nelson County,25.6,26.2,0.6
Kentucky,Nicholas County,30.9,32.9,2
Kentucky,Ohio County,23.1,24.3,1.2
Kentucky,Oldham County,25.8,27.7,1.9
Kentucky,Owen County,30.4,31.9,1.5
Kentucky,Owsley County,18.2,22.6,4.4
Kentucky,Pendleton County,33.7,33.9,0.2
Kentucky,Perry County,21.8,22.7,0.9
Kentucky,Pike County,23.6,24.1,0.5
Kentucky,Powell County,29.8,28.5,-1.3
Kentucky,Pulaski County,22.4,21,-1.4
Kentucky,Robertson County,44.2,34.4,-9.8
Kentucky,Rockcastle County,29.3,24.7,-4.6
Kentucky,Rowan County,22.9,22.1,-0.8
Kentucky,Russell County,19.2,20.6,1.4
Kentucky,Scott County,21.5,21.1,-0.4
Kentucky,Shelby County,24.7,25.4,0.7
Kentucky,Simpson County,18.3,19.5,1.2
Kentucky,Spencer County,32.3,32,-0.3
Kentucky,Taylor County,18.8,19,0.2
Kentucky,Todd County,24.7,26.4,1.7
Kentucky,Trigg County,24.2,26.8,2.6
Kentucky,Trimble County,30.4,28.7,-1.7
Kentucky,Union County,22.5,20.3,-2.2
Kentucky,Warren County,19,20.2,1.2
Kentucky,Washington County,30,26.5,-3.5
Kentucky,Wayne County,26.1,20.9,-5.2
Kentucky,Webster County,24,25.3,1.3
Kentucky,Whitley County,21.5,20.6,-0.9
Kentucky,Wolfe County,27.1,31.1,4
Kentucky,Woodford County,21,21.9,0.9
Louisiana,Acadia Parish,28.9,27.6,-1.3
Louisiana,Allen Parish,28.9,28.3,-0.6
Louisiana,Ascension Parish,26.9,30,3.1
Louisiana,Assumption Parish,32,29.6,-2.4
Louisiana,Avoyelles Parish,31.2,30.2,-1
Louisiana,Beauregard Parish,31.4,30.1,-1.3
Louisiana,Bienville Parish,30,32.6,2.6
Louisiana,Bossier Parish,20.4,21.7,1.3
Louisiana,Caddo Parish,19.5,20.9,1.4
Louisiana,Calcasieu Parish,20.2,20.5,0.3
Louisiana,Caldwell Parish,36.8,23.7,-13.1
Louisiana,Cameron Parish,29,33.6,4.6
Louisiana,Catahoula Parish,40.1,23.3,-16.8
Louisiana,Claiborne Parish,29.7,26.2,-3.5
Louisiana,Concordia Parish,27.5,20.2,-7.3
Louisiana,De Soto Parish,28.6,29.2,0.6
Louisiana,East Baton Rouge Parish,23.3,23.6,0.3
Louisiana,East Carroll Parish,15.8,12.3,-3.5
Louisiana,East Feliciana Parish,30.4,30.6,0.2
Louisiana,Evangeline Parish,33.3,28.3,-5
Louisiana,Franklin Parish,34.5,21.8,-12.7
Louisiana,Grant Parish,30,34.5,4.5
Louisiana,Iberia Parish,22.6,24.2,1.6
Louisiana,Iberville Parish,25.4,24.9,-0.5
Louisiana,Jackson Parish,26.2,30.1,3.9
Louisiana,Jefferson Parish,23.7,24,0.3
Louisiana,Jefferson Davis Parish,32,30.8,-1.2
Louisiana,Lafayette Parish,22.1,24.1,2
Louisiana,Lafourche Parish,26.5,28,1.5
Louisiana,LaSalle Parish,38.4,41.5,3.1
Louisiana,Lincoln Parish,19.6,19.3,-0.3
Louisiana,Livingston Parish,34.8,33.8,-1
Louisiana,Madison Parish,17.2,13,-4.2
Louisiana,Morehouse Parish,22.2,23.2,1
Louisiana,Natchitoches Parish,24.6,22.9,-1.7
Louisiana,Orleans Parish,23.1,23.8,0.7
Louisiana,Ouachita Parish,20.3,19.9,-0.4
Louisiana,Plaquemines Parish,23.5,25.8,2.3
Louisiana,Pointe Coupee Parish,30.3,29.1,-1.2
Louisiana,Rapides Parish,21.5,22.5,1
Louisiana,Red River Parish,29.9,33.9,4
Louisiana,Richland Parish,23.1,20.8,-2.3
Louisiana,Sabine Parish,31.6,32.1,0.5
Louisiana,St. Bernard Parish,24.3,27,2.7
Louisiana,St. Charles Parish,27.8,27,-0.8
Louisiana,St. Helena Parish,37.6,38.5,0.9
Louisiana,St. James Parish,24,27,3
Louisiana,St. John the Baptist Parish,26.6,28.5,1.9
Louisiana,St. Landry Parish,27.2,26.4,-0.8
Louisiana,St. Martin Parish,28.8,27.2,-1.6
Louisiana,St. Mary Parish,22.6,21.3,-1.3
Louisiana,St. Tammany Parish,31.6,31,-0.6
Louisiana,Tangipahoa Parish,30.4,31.3,0.9
Louisiana,Tensas Parish,20.8,24.1,3.3
Louisiana,Terrebonne Parish,24.4,22.7,-1.7
Louisiana,Union Parish,29.9,31.9,2
Louisiana,Vermilion Parish,28,28.7,0.7
Louisiana,Vernon Parish,20.8,21.6,0.8
Louisiana,Washington Parish,31.3,33,1.7
Louisiana,Webster Parish,25.8,24.2,-1.6
Louisiana,West Baton Rouge Parish,23.8,23.8,0
Louisiana,West Carroll Parish,23.6,23.3,-0.3
Louisiana,West Feliciana Parish,28.2,25.4,-2.8
Louisiana,Winn Parish,30.8,27.3,-3.5
Maine,Androscoggin County,22.9,24.2,1.3
Maine,Aroostook County,16.7,17.6,0.9
Maine,Cumberland County,21.9,22.9,1
Maine,Franklin County,23.4,23.7,0.3
Maine,Hancock County,22.6,23.1,0.5
Maine,Kennebec County,22.4,23.4,1
Maine,Knox County,18.8,17.4,-1.4
Maine,Lincoln County,23.9,24.8,0.9
Maine,Oxford County,27,28.4,1.4
Maine,Penobscot County,21.5,22.5,1
Maine,Piscataquis County,24.1,25.4,1.3
Maine,Sagadahoc County,22.4,22.9,0.5
Maine,Somerset County,24.8,24.4,-0.4
Maine,Waldo County,26,26.4,0.4
Maine,Washington County,19,20.9,1.9
Maine,York County,26.5,28,1.5
Maryland,Allegany County,22.2,20.9,-1.3
Maryland,Anne Arundel County,28.8,30.2,1.4
Maryland,Baltimore County,27.9,29.5,1.6
Maryland,Calvert County,39.6,41.9,2.3
Maryland,Caroline County,31.6,32.1,0.5
Maryland,Carroll County,34.4,35.6,1.2
Maryland,Cecil County,28.9,29.3,0.4
Maryland,Charles County,41.8,43.9,2.1
Maryland,Dorchester County,25,26.3,1.3
Maryland,Frederick County,34.3,35,0.7
Maryland,Garrett County,22.9,24.2,1.3
Maryland,Harford County,30.9,32.1,1.2
Maryland,Howard County,30.3,30.9,0.6
Maryland,Kent County,26.1,26.7,0.6
Maryland,Montgomery County,33.2,34.7,1.5
Maryland,Prince George's County,35.5,36.9,1.4
Maryland,Queen Anne's County,34.4,36.2,1.8
Maryland,St. Mary's County,30,30.9,0.9
Maryland,Somerset County,23,24.9,1.9
