Team,League,Year,wins,runs,on_base,slugging,batting_avg,opp_runs,opp_on_base,opp_slugging
TBD,AL,2000,69,733,0.329,0.399,0.257,842,0.345,0.451
TEX,AL,2000,71,848,0.352,0.446,0.283,974,0.369,0.475
TOR,AL,2000,83,861,0.341,0.469,0.275,908,0.354,0.456
ANA,AL,1999,70,711,0.322,0.395,0.256,826,0.346,0.427
ARI,NL,1999,100,908,0.347,0.459,0.277,676,0.32,0.402
ATL,NL,1999,103,840,0.341,0.436,0.266,661,0.314,0.377
BAL,AL,1999,78,851,0.353,0.447,0.279,815,0.35,0.441
BOS,AL,1999,94,836,0.35,0.448,0.278,718,0.315,0.398
CHC,NL,1999,67,747,0.329,0.42,0.257,920,0.346,0.467
CHW,AL,1999,75,777,0.337,0.429,0.277,870,0.353,0.447
CIN,NL,1999,96,865,0.341,0.451,0.272,711,0.324,0.411
CLE,AL,1999,97,1009,0.373,0.467,0.289,860,0.347,0.439
COL,NL,1999,72,906,0.348,0.472,0.288,1028,0.384,0.499
DET,AL,1999,69,747,0.326,0.443,0.261,882,0.349,0.451
FLA,NL,1999,64,691,0.325,0.395,0.263,852,0.359,0.44
HOU,NL,1999,97,823,0.355,0.42,0.267,675,0.326,0.397
KCR,AL,1999,64,856,0.348,0.433,0.282,921,0.365,0.454
LAD,NL,1999,77,793,0.339,0.42,0.266,787,0.336,0.422
MIL,NL,1999,74,815,0.353,0.426,0.273,886,0.356,0.457
MIN,AL,1999,63,686,0.328,0.384,0.264,845,0.342,0.465
MON,NL,1999,68,718,0.323,0.427,0.265,853,0.342,0.418
NYM,NL,1999,97,853,0.363,0.434,0.279,711,0.331,0.418
NYY,AL,1999,98,900,0.366,0.453,0.282,731,0.329,0.4
OAK,AL,1999,87,893,0.355,0.446,0.259,846,0.344,0.428
PHI,NL,1999,77,841,0.351,0.431,0.275,846,0.347,0.447
PIT,NL,1999,78,775,0.334,0.419,0.259,782,0.343,0.42
SDP,NL,1999,74,710,0.332,0.393,0.252,781,0.333,0.43
SEA,AL,1999,79,859,0.343,0.455,0.269,905,0.368,0.454
SFG,NL,1999,86,872,0.356,0.434,0.271,831,0.345,0.423
STL,NL,1999,75,809,0.338,0.426,0.262,838,0.355,0.427
TBD,AL,1999,69,772,0.343,0.411,0.274,913,0.371,0.448
TEX,AL,1999,95,945,0.361,0.479,0.293,859,0.346,0.459
TOR,AL,1999,84,883,0.352,0.457,0.28,862,0.353,0.456
